"sampleName"	"inputSpecies"	"pthr"	"an"	"newAN"	"distFloat"	"distBranches"	"uniprotList"
"11"	"LOXAF15390"	"LOXAF"	"PTHR10681"	"AN446"	"AN444"	"0.032"	"2"	"P30048;A0A2I3SRN8;H2Q2N6;G3SIJ5;A0A1D5Q4H6;P20108;Q9Z0V6;P35705;F1S418;F6Z7J2;A0A5F5XXB7;J9PB41;J9NXF3;E2RRD4;A0A5F8GRE5;A0A5F8GRK1;A0A5F8GMA4;F6U7N3;A0A1D5PNR4;H2MGZ4;A8E7G6;W5MU71;H2XU41;A0A7M7HF73;Q21824;A8XSZ1;H3ENI4;Q9VEJ0;Q7QFB6;D6X1Q0;E9HWI6;B7QN17;T1ELE6;B3RUE8;A9UXC8;A0T0Q0;H3HC76;Q8Y6S9;O34564;Q7NGL1;Q8A3Z2;O66779;Q8R6D3;Q74ER7;H7C7V2;Q83BM6;Q8EI86;Q8PCA0;Q9I6Z3;P0A251;P0AE08;Q8F2G2;O84608;Q7UFZ4;P21762;Q747L9;Q83B14;K4PSH5;Q9KTZ9;Q9I593;Q9HY81;Q7CR42;A0A2S9PJE2"
"12"	"LOXAF18911"	"LOXAF"	"PTHR46568"	"AN30"	"AN12"	"0.018"	"2"	"O00116;H2QJ17;A0A2I2YG99;A0A5F8APM7;Q8C0I1;Q9EQR2;A0A3Q1NBU3;A0A287A3U2;A0A3Q2HGD7;M3XEX9;F6Y1U6;F6YBI5;F6WMA2;F1P5J7;H9GIM4;A0A6I8R1B9;H2MT94;F1QC72;W5MJ60;F6RKU1;C3XSR9;A0A7M7N0C2;O45218;A8XML6;H3DZQ5;Q9V778;Q7QA93;D6WW52;B7P0R9;T1FMI1;A7RUJ7;B3S8N9;A0D322;A0BDU6;A0CMK6;B8BZ23;Q9RJ97;O05784;L0TBR2;Q8F3Y7"
"13"	"LOXAF02069"	"LOXAF"	"PTHR15185"	"AN44"	"AN44"	"0"	"0"	"O00512;H2PZV0;G3R1L0;F7D4Z2;Q9D219;D4A7D6;E1BPF3;A0A286ZZI2;F6S3W0;M3VUK7;E2QWH2;F7EFL9;A0A6I8NQ71;A0A1D5PQ44;G1KP94;A0A6I8T1T1;A0A3B3IPJ1;F1R405;W5MJ02;A0A7M7PB40;A0A7M7PAS8"
"14"	"LOXAF06558"	"LOXAF"	"PTHR21366"	"AN57"	"AN39"	"0.02"	"2"	"A6NK44;A0A2I3T7G9;G3QWL3;A0A5F8AS11;Q9D8I3;D3Z9B0;A0A3Q1LZB4;A0A287AUR6;F7DZL9;M3VYR3;F1PQI7;P0C5H0;A0A5F8G932;A0A6I8PK35;R4GGK5;H9GBD4;L7N3B1;A0A803JC50;Q28CR0;H2LNT7;Q502D1;W5NCF2;C3Z2T3;A0A7M7PDM1"
"15"	"LOXAF15420"	"LOXAF"	"PTHR46388"	"AN19"	"AN19"	"0"	"0"	"Q8NBF2;H2Q2L4;G3RGR6;A0A1D5QBG4;Q8BZW8;D3ZLM5;A4IF69;F1S5H7;F7AV53;M3XFF8;A0A5F4C3J7;F6WA87;A0A6I8NYW5;Q5ZI67;F1NEF8;H9GFX6;A0A6I8S1X2;H2LJ42;U3JAV2;W5N2G5;A0A7M7NZH5;Q9W5T4;A0A1S4H4G5;Q7Q8Q9;D6WBP1;E9GJ79;B7PT46;A7RH97;B3S2S5;Q38EV3;A0A2K3D0R0;W1P6K8;A0A0K9Q219;M0RU09;K4A553;A0A1B6QNN0;A0A1D6K0T3;A0A0Q3LG23;A0A3B6HUF2;A0A3B6IT41;A0A3B6JIP4;A0A1U8A361;A0A0K9RCT4;A0A251TWX5;A0A2J6KDR9;A0A022RDW7;A0A3Q7EP13;A0A1S4CXY2;A0A1S3YFK6;F6I4T4;A0A059B3H8;A0A078HY95;M4EGL8;Q8VZ10;A0A1U8J565;A0A1U8KWV3;A0A1U8HLD3;A0A061F483;A0A067GPJ8;A0A2K1XYZ4;A0A2C9VD02;B9RFK4;I1NBR0;A0A072UFC0;A0A2I4EAP5;A0A0A0LY80;A0A251NYB2;D8RU18;D8QYE7;A0A2K1INI9;A0A2R6WU33;A0A2R6XLB1;A0A1Y1INP8;A0A1Y1IMI3"
"16"	"LOXAF17298"	"LOXAF"	"PTHR42966"	"AN9"	"AN9"	"0"	"0"	"Q9NR45;H2QXJ8;A0A2I2Y964;A0A5F8AFA3;Q99J77;B1WC26;Q1RMX7;A0A287AFR6;A0A3Q2L2W1;A0A337SJK9;F6SJ79;F7DGK6;Q5ZMH8;H9G5W6;H2N2T5;A0A0G2L5X9;F1R1P6;W5MZB9;C3YJ27;C3YJ26;A0A7M7SYX7;Q9VG74;Q7PQ63;D6WCA5;E9HZY6;A9A1R0;Q8TJL5;Q58465;Q9AK45;Q8F5Q4;Q89HL9;A5I5F4;Q8RIB8;O24980;A5I5B4;P39625;Q8F330;Q8F5Q8;Q8A711;B5YJA9;Q7DDU0;Q74B32;Q89HJ8;Q8EC83"
"17"	"LOXAF20472"	"LOXAF"	"PTHR23026"	"AN38"	"AN19"	"0.078"	"3"	"Q6PHW0;A0A2I3SR30;A0A2I2ZDI2;F7GTA1;Q9DCX8;Q5BK17;A0A3S5ZPC4;Q6TA49;A0A287BQ51;F7AW63;A0A337SF28;E2R3F8;F7G6J3;A0A6I8NQA9;E1C0X6;H9GBT3;F7BBN5;A0A3B3I544;E7FDV5;W5NH61;C3Y0Q6;A0A7M7PRQ2;P34273;A8XF51;Q7Q788;A0A139WKF8;E9FR69;A7S5D5;A7S5D9;C4M3G7;C4M397;C4LSD2;A8B786;A2EIQ8;A9A2V5;B1L4B3;Q97VQ3;Q8TKG6;Q8TTU5;Q8TL34;Q8TPY0;Q9HQZ4;Q5JCX9;Q5JFV4;Q8DQQ7;Q9WYL7;B8E338;Q9S1U8;Q89CJ9;Q2FVA4;O34475;Q81B67;G5EB01;Q9K022;Q57431;Q8EB21;Q9KLV4;P15888;P38489;A5I1L6;Q8A8L9;Q8R636;A5I0C5;Q8A745;A9WAK8;Q9RI44;Q9RI33;Q9RJ03;P9WL07;P9WIZ9;P9WIZ7;A5I3G3;Q81DY6;Q9WYL4;Q9RUW0;Q8ABC9;B5YKK5;B8DZ31;Q74A65;Q89LK5;Q89Q76;Q89L96"
"18"	"LOXAF06775"	"LOXAF"	"PTHR11935"	"AN116"	"AN100"	"0.291"	"4"	"Q16775;A0A2I3T1T8;G3SF16;F6YDU0;Q99KB8;O35952;Q3B7M2;A0A5G2QP05;A0A3Q2HK14;A0A5F5Y567;J9NVH3;F7EAU2;F7B350;Q5ZI23;H9GB33;F7D0S1;B4F6K2;G1K3C6;H2LZI4;Q6P963;W5MCP2;C3Y9J7;A0A7M7RDD4;Q9XXJ1;A8XZ72;H3EES6;Q8IPU3;F5HJJ8;D6WVJ7;E9FXP0;B7PY82;T1ELI7;A7T7X9;A7RKI7;B3RPZ7;A9UXV8;A9VE42;A9V293;Q05584;Q12320;Q75C33;A0A1D8PID4;Q6CA02;C8V2I1;Q4WVP5;V5IL53;A7E4R8;Q0UD80;O94250;Q9UT36;B6JYD6;Q5KIL7;A0A0D1EA83;E3JXC1;F4P490;Q54MR1;F0ZJK3;Q4Q2K2;Q581U6;Q4QGS1;Q585D9;A2H240;Q8I5Y8;C0H490;A0BKZ2;B8BUS7;H3G9T4;A0A2K3DNP1;A0A2K3DNQ1;A0A2K3D5Q4;U5DDL4;A0A0K9NU56;M0TVH1;M0UB37;K3ZVH3;C5X5E8;Q69MU0;I1IRV7;A0A287RY98;A0A3B6MTM3;A0A3B6KLN3;A0A3B6LQD6;A0A1U7YRE6;A0A0K9RD44;A0A251SXR0;A0A251VCL6;A0A2J6KC26;A0A022RQ76;A0A1U8F002;A0A3Q7HP70;A0A1S3XBJ1;A0A1S3Z8L5;F6HYX2;A0A059DAG6;A0A078I4Z6;M4CKM8;M4C7X7;A0A078GAA0;A0A078GY23;M4F9F2;O24495;A0A078FSU6;A0A078GFP9;M4E236;A0A078J0Q6;A0A078FCS8;M4DP12;Q9SID3;A0A078FD60;M4EUF4;Q8LDW8;A0A1U8IHY6;A0A1U8K9E4;A0A1U8MKQ6;A0A1U8HWW6;A0A1U8PA93;A0A1U8LKV7;A0A061ER78;A0A067DU67;A9PDC1;A9PAT7;A0A251JUU1;A0A2C9VZE8;B9SU05;I1LJN3;A0A0R0H2K8;A0A072UKV5;I1MD49;C6TKG9;G7IS04;A0A2I4ET34;A0A2I4E056;A0A0A0KYR2;M5XCH1;D8SIZ3;D8QP33;A0A7I4DLH6;A0A2R6W0E7;A0A1Y1ITR8;W1PB56;A0A0K9NLZ9;M0TXJ6;K4ADS7;C5X1M7;A0A1D6K1V4;Q10LW8;I1H5U9;A0A287P084;A0A3B6ISR3;A0A3B6JJ24;A0A3B6HUX1;A0A1U8BC17;A0A0K9RBW9;A0A251SQM4;A0A2J6JTB4;A0A022R5A6;A0A2G2Z8I7;Q3HRX3;A0A3Q7GR39;A0A1S4BVN6;A0A1S4DCC6;D7T4T3;A0A078F657;A0A078JJ88;M4EM52;O24496;A0A1U8LWQ9;A0A061FSE4;A0A2K1WQL5;A0A3N7FAV2;A0A2C9VLH6;B9S4H6;K7KUZ8;A0A0R0KZP1;K7KLP6;I1MB50;G7KDB9;A0A2I4FPF9;A0A0A0KPC1;A0A251QM37;D8RSK7;A9SSM2;A0A1Y1HQF8"
"19"	"LOXAF08265"	"LOXAF"	"PTHR11830"	"AN128"	"AN110"	"0.065"	"7"	"A0A2I3RFX8;A0A2I2Z7D4;A0A2I3SS60;G3QIC3;A0A2I3TLW3;A0A2I2ZIR9;P61247;A0A2I3RFV4;A0A2I3SEE4;A0A2I3RHI1;G3RMT5;A0A2I2Z934;G3QKY9;A0A5F8ARL4;P97351;M0R6L4;P49242;G3N262;Q56JV9;I3LN32;F2Z5C7;F6Z1Z7;M3X6T5;P61246;A0A0A0MQ24;J9P1R9;E2REY9;A0A5F4C9H5;J9P7H6;F2Z4Q5;F7ESW0;A0A6I8NIK0;F7CNK4;A0A1D5PY92;G1KBE1;Q642T2;O73813;Q6PBY1;W5MQ18;F6Z1E3;C3YZV7;A0A7M7N5A4;A0A7M7RE09;P48154;A8XSX8;H3F9N6;P55830;P52813;D2A5H6;E9G8Y9;E9FU59;B7PSQ6;Q4PM31;T1FYG5;T1FNE5;A7S3J7;B3S6Y0;A9USH8;P33442;P23248;Q756Y3;P40910;Q6C2R9;Q5AS60;Q4WTM9;Q871N9;A7E4H3;Q0UFP1;O94438;Q09781;B6JWF7;B6K2Q6;P0CQ58;Q4P4C2;E3L5E7;F4PD08;C4M609;C4LTQ5;Q54ZW5;F0ZQQ6;Q4FX73;Q38BK7;Q38BK6;A0A644F9A2;A2FDS0;A2FWR9;A2DSV0;A2G9Z8;O97313;A0CCR3;A0DI10;A0CBU4;A0C5S9;B8CET5;H3G898;A0A2K3CZL0;W1P1P4;W1PR86;A0A0K9NHQ6;A0A0K9NN24;M0S258;M0SPG3;M0SWU9;M0SJ22;M0T9X2;K3ZW60;K4ADW6;A0A1Z5SAK7;C5XD91;C5XD92;C5XD93;A0A1W0W7A2;A0A1B6QPU3;B6TAQ5;B6UG10;A0A1D6PI63;P49397;Q0INR5;Q6K8B8;A0A0Q3K2L3;I1HAS4;I1H8I6;I1HW94;A0A287PJU2;A0A3B6HRG5;A0A3B6JNU8;A0A3B6IU74;A0A287F2X4;A0A1U7ZX84;A0A1U7ZVE9;A0A0K9R531;A0A0K9R8Z9;A0A251VDI4;A0A251RU27;A0A251TEC5;A0A251RL83;A0A251UJ07;A0A251SWI0;A0A2J6LFN1;A0A2J6K908;A0A2J6LPE9;A0A022RRC1;A0A022QV14;A0A022QEI8;A0A022Q4T2;A0A1U8G5P9;Q2XPX2;A0A3Q7I881;Q2XPV8;Q2XPX9;A0A3Q7H256;A0A3Q7FNL7;A0A1S4A7Q3;A0A1S3YSQ9;A0A1S3XJC8;A0A1S4B4L3;Q285L8;A0A1S3ZCU3;D7T724;F6HB17;F6HTT2;A0A1U8LHY8;A0A1U8J195;A0A1U8LIH1;A0A1U8I264;U5GAZ4;A0A078HQ29;M4CA98;A0A078C6N9;M4D4Z4;M4DMD6;A0A078HX00;M4FH31;A0A078GY47;A0A078G6S8;M4FG92;A0A078FWF3;M4F0P8;Q9CAV0;Q42262;A0A061F363;A0A2C9VCD8;A0A2C9VFT5;B9RER3;M5VZN2;A0A059D0M7;A0A059B376;A0A1U8LP26;A0A1U8KFT2;A0A1U8LMW6;A0A1U8LKV5;A0A061ELQ2;A0A067DFM2;A0A067DWN5;A0A067GGA0;A9PHL2;A9PAH0;A0A2C9WAW7;A0A2C9UDK3;B9RTL6;I1LE22;C6TLT3;C6TI64;K7LCA6;I1KAA3;C6TLV6;B7FLW8;A0A072UT24;G7K3P1;A0A2I4G677;A0A2I4F543;A0A2I4EGX1;A0A0A0L4P6;A0A0A0LLN9;A0A251QRA9;A0A1U8BCP8;A0A1U8B8Y3;D8SVC4;A0A2K1KNE0;A9T7N1;A9SHV3;A0A2K1JV12;A9T6N1;A9SLV9;A9RMS0;A9S3W8;A0A2R6X5D1;A0A1Y1I1J1;A9A4V4;B1L6P7;Q9UXD4;Q8ZT21;Q8TKI9;P54059;Q9HRA5;Q5JGM4"
"20"	"LOXAF01660"	"LOXAF"	"PTHR11473"	"AN133"	"AN124"	"0.058"	"2"	"P07101;H2Q2W7;G3QN04;F6ZV38;P24529;P04177;A0A3Q1MAN0;P17289;A0A287AVR4;A0A5F5PXK9;A0A337S326;Q76IQ3;F1PBW5;A0A6I8P676;Q9PU40;G1KJG2;F6QRF6;H2MPH9;Q1LWZ5;H2MXJ4;A0A2R8RPJ0;W5M177;F6Y7Q5;C3ZPR8;A0A7M7RE53;P90986;A8X3V8;A0A4X3PL10;P18459;A7UU04;D6WHA4;E9GZM6;T1FYT6;A7SX22;B3SC11;A9UUJ8;F4NS91;Q54XS1;F0ZME5;Q6WRI4;A0DG89;A0BSB2;A0C973;A0BCY6;B8LE69;H3G9R5;A8HQD7;E5KBU4;A0A1Y1I6U4;A0A1Y1IAC0;A9WKC2;Q818B4;Q8EGD8;Q9KLB8;Q8PE27;P43334"
